1. Найти все драмы, выпущенные после 2005 года, которые понравились женщинам (оценка не ниже 4.5). Для каждого фильма в этом списке вывести название, год выпуска и количество таких оценок.
--------------------------------------------------
select m.title, m.year, count(rating) as ratings_count from movies m join ratings r on m.id = r.movie_id join users u on r.user_id = u.id where instr(m.genres, 'Drama') > 0 and u.gender = 'female' and m.year > 2005 and rating >= 4.5 group by m.id;
┌──────────────────────────────────────────────────────────┬──────┬───────────────┐
│                          title                           │ year │ ratings_count │
├──────────────────────────────────────────────────────────┼──────┼───────────────┤
│ Scanner Darkly, A                                        │ 2006 │ 1             │
│ Inside Man                                               │ 2006 │ 2             │
│ Lucky Number Slevin                                      │ 2006 │ 1             │
│ Lake House, The                                          │ 2006 │ 1             │
│ Click                                                    │ 2006 │ 1             │
│ Devil Wears Prada, The                                   │ 2006 │ 3             │
│ Little Miss Sunshine                                     │ 2006 │ 2             │
│ Science of Sleep, The (La science des rêves)             │ 2006 │ 1             │
│ Apocalypto                                               │ 2006 │ 1             │
│ Pan''s Labyrinth (Laberinto del fauno, El)               │ 2006 │ 2             │
│ Departed, The                                            │ 2006 │ 7             │
│ Children of Men                                          │ 2006 │ 1             │
│ Prestige, The                                            │ 2006 │ 3             │
│ Blood Diamond                                            │ 2006 │ 2             │
│ Painted Veil, The                                        │ 2006 │ 1             │
│ Freedom Writers                                          │ 2007 │ 1             │
│ Ratatouille                                              │ 2007 │ 5             │
│ Breach                                                   │ 2007 │ 1             │
│ Shooter                                                  │ 2007 │ 1             │
│ Knocked Up                                               │ 2007 │ 1             │
│ Once                                                     │ 2006 │ 1             │
│ Harry Potter and the Order of the Phoenix                │ 2007 │ 2             │
│ Eastern Promises                                         │ 2007 │ 1             │
│ Into the Wild                                            │ 2007 │ 1             │
│ American Gangster                                        │ 2007 │ 1             │
│ August Rush                                              │ 2007 │ 1             │
│ Orphanage, The (Orfanato, El)                            │ 2007 │ 1             │
│ Juno                                                     │ 2007 │ 1             │
│ Sweeney Todd: The Demon Barber of Fleet Street           │ 2007 │ 1             │
│ There Will Be Blood                                      │ 2007 │ 1             │
│ [REC]                                                    │ 2007 │ 1             │
│ Girl Who Leapt Through Time, The (Toki o kakeru shôjo)   │ 2006 │ 1             │
│ In Bruges                                                │ 2008 │ 2             │
│ Definitely, Maybe                                        │ 2008 │ 1             │
│ Other Boleyn Girl, The                                   │ 2008 │ 1             │
│ Funny Games U.S.                                         │ 2007 │ 1             │
│ Dark Knight, The                                         │ 2008 │ 5             │
│ Taken                                                    │ 2008 │ 1             │
│ Fall, The                                                │ 2006 │ 1             │
│ Let the Right One In (Låt den rätte komma in)            │ 2008 │ 2             │
│ Burn After Reading                                       │ 2008 │ 1             │
│ Slumdog Millionaire                                      │ 2008 │ 4             │
│ Australia                                                │ 2008 │ 1             │
│ Milk                                                     │ 2008 │ 1             │
│ Gran Torino                                              │ 2008 │ 2             │
│ Curious Case of Benjamin Button, The                     │ 2008 │ 1             │
│ Dr. Horrible''s Sing-Along Blog                          │ 2008 │ 2             │
│ Girl with the Dragon Tattoo, The (Män som hatar kvinnor) │ 2009 │ 1             │
│ Adventureland                                            │ 2009 │ 1             │
│ Pirate Radio                                             │ 2009 │ 1             │
│ Inglourious Basterds                                     │ 2009 │ 2             │
│ Young Victoria, The                                      │ 2009 │ 1             │
│ Up                                                       │ 2009 │ 6             │
│ Hurt Locker, The                                         │ 2008 │ 1             │
│ (500) Days of Summer                                     │ 2009 │ 2             │
│ Imaginarium of Doctor Parnassus, The                     │ 2009 │ 1             │
│ Secret in Their Eyes, The (El secreto de sus ojos)       │ 2009 │ 1             │
│ Tyler Perry''s I Can Do Bad All by Myself                │ 2009 │ 1             │
│ New York, I Love You                                     │ 2009 │ 1             │
│ Mary and Max                                             │ 2009 │ 2             │
│ Up in the Air                                            │ 2009 │ 2             │
│ Cell 211 (Celda 211)                                     │ 2009 │ 1             │
│ Hachiko: A Dog''s Story (a.k.a. Hachi: A Dog''s Tale)    │ 2009 │ 1             │
│ 3 Idiots                                                 │ 2009 │ 1             │
│ Temple Grandin                                           │ 2010 │ 1             │
│ Shutter Island                                           │ 2010 │ 1             │
│ Ghost Writer, The                                        │ 2010 │ 1             │
│ Inception                                                │ 2010 │ 6             │
│ Mr. Nobody                                               │ 2009 │ 1             │
│ Social Network, The                                      │ 2010 │ 2             │
│ Town, The                                                │ 2010 │ 1             │
│ Flipped                                                  │ 2010 │ 1             │
│ Let Me In                                                │ 2010 │ 1             │
│ 127 Hours                                                │ 2010 │ 1             │
│ King''s Speech, The                                      │ 2010 │ 5             │
│ Emma                                                     │ 2009 │ 1             │
│ Source Code                                              │ 2011 │ 1             │
│ Incendies                                                │ 2010 │ 1             │
│ Harry Potter and the Deathly Hallows: Part 2             │ 2011 │ 4             │
│ Crazy, Stupid, Love.                                     │ 2011 │ 2             │
